#纬度,经度,学校,省份,层次,全国热度排名,类别,类别排名,网址,学校抓取编码
34.23710189,109.0881668,西安海棠职业学院,陕西,高职高专,1044,理工类,919,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1284.htm,1284
34.21950907,109.1095616,西安汽车科技职业学院,陕西,高职高专,1533,理工类,472,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2257.htm,2257
34.16053751,108.9423976,西安东方亚太职业技术学院,陕西,高职高专,2416,综合类,616,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2261.htm,2261
43.68697678,122.2568287,通辽职业学院,内蒙古,高职高专,1750,综合类,453,http://gkcx.eol.cn/schoolhtm/schoolTemple/school861.htm,861
43.68801812,122.2660784,科尔沁艺术职业学院,内蒙古,高职高专,2616,艺术类,97,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1630.htm,1630
45.61452582,122.8067075,白城医学高等专科学校,吉林,高职高专,1690,医药类,148,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1608.htm,1608
50.23359582,127.550601,黑河学院,黑龙江,普通本科,859,综合类,227,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1045.htm,1045
37.78370573,112.4961596,山西电力职业技术学院,山西,高职高专,1552,理工类,478,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1661.htm,1661
28.67190394,121.267783,台州科技职业学院,浙江,高职高专,2417,综合类,617,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1788.htm,1788
31.21504391,121.5856323,上海电影艺术职业学院,上海,高职高专,2091,艺术类,68,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1724.htm,1724
31.58907521,120.1913501,无锡城市职业技术学院,江苏,高职高专,1691,财经类,166,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2216.htm,2216
31.3461394,119.8429784,无锡工艺职业技术学院,江苏,高职高专,1624,艺术类,109,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1361.htm,1361
30.83508078,121.2484082,金山职业技术学院,江苏,高职高专,2439,理工类,800,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1199.htm,1199
33.61186842,119.0227193,江苏财经职业技术学院,江苏,高职高专,1597,财经类,155,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2219.htm,2219
32.42080623,119.4543818,扬州工业职业技术学院,江苏,高职高专,1718,理工类,543,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1155.htm,1155
22.79839805,100.9890805,云南热带作物职业学院,云南,高职高专,2624,农林类,92,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2176.htm,2176
25.06824034,102.7119896,云南国防工业职业技术学院,云南,高职高专,1946,理工类,616,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2177.htm,2177
25.15047396,102.7408106,云南机电职业技术学院,云南,高职高专,2286,理工类,740,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2178.htm,2178
25.0994095,102.7806645,云南林业职业技术学院,云南,高职高专,2102,农林类,75,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2179.htm,2179
25.24031895,103.0104793,云南城市建设职业学院,云南,高职高专,2330,综合类,593,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2183.htm,2183
31.66031546,118.4978966,马鞍山师范高等专科学校,安徽,高职高专,2015,师范类,186,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1803.htm,1803
